,precision,recall,f1-score,support
physics.ao-ph,0.6,0.6,0.6,10.0
physics.app-ph,0.0,0.0,0.0,0.0
physics.atm-clus,0.0,0.0,0.0,1.0
physics.atom-ph,0.39215686274509803,0.45454545454545453,0.42105263157894735,44.0
physics.bio-ph,0.25,0.26666666666666666,0.25806451612903225,15.0
physics.chem-ph,0.2857142857142857,0.125,0.17391304347826086,16.0
physics.class-ph,0.0,0.0,0.0,23.0
physics.comp-ph,0.0,0.0,0.0,7.0
physics.data-an,0.0,0.0,0.0,13.0
physics.ed-ph,0.5,0.2857142857142857,0.36363636363636365,7.0
physics.flu-dyn,0.4418604651162791,0.5588235294117647,0.4935064935064935,34.0
physics.gen-ph,0.18518518518518517,0.078125,0.10989010989010989,64.0
physics.geo-ph,0.42857142857142855,0.375,0.4,8.0
physics.hist-ph,0.3333333333333333,0.16666666666666666,0.2222222222222222,12.0
physics.ins-det,0.5,0.5714285714285714,0.5333333333333333,21.0
physics.med-ph,0.0,0.0,0.0,3.0
physics.optics,0.5789473684210527,0.5892857142857143,0.584070796460177,56.0
physics.plasm-ph,0.84,0.6,0.7,35.0
physics.pop-ph,0.0,0.0,0.0,6.0
physics.soc-ph,0.68,0.40476190476190477,0.5074626865671642,42.0
physics.space-ph,0.0,0.0,0.0,1.0
q-bio.BM,0.1111111111111111,0.09090909090909091,0.1,11.0
q-bio.CB,0.0,0.0,0.0,3.0
q-bio.GN,0.25,0.14285714285714285,0.18181818181818182,7.0
q-bio.MN,0.42857142857142855,0.375,0.4,8.0
q-bio.NC,0.4166666666666667,0.3333333333333333,0.37037037037037035,15.0
q-bio.OT,0.0,0.0,0.0,2.0
q-bio.PE,0.7368421052631579,0.5384615384615384,0.6222222222222222,26.0
q-bio.QM,0.14285714285714285,0.09090909090909091,0.1111111111111111,11.0
q-bio.SC,0.0,0.0,0.0,3.0
q-bio.TO,0.0,0.0,0.0,4.0
q-fin.CP,0.0,0.0,0.0,1.0
q-fin.EC,0.0,0.0,0.0,0.0
q-fin.GN,0.0,0.0,0.0,4.0
q-fin.MF,0.0,0.0,0.0,0.0
q-fin.PM,0.0,0.0,0.0,3.0
q-fin.PR,0.5,0.14285714285714285,0.2222222222222222,7.0
q-fin.RM,1.0,0.5,0.6666666666666666,2.0
q-fin.ST,0.6666666666666666,0.36363636363636365,0.47058823529411764,11.0
q-fin.TR,0.0,0.0,0.0,2.0
quant-ph,0.719626168224299,0.7333333333333333,0.7264150943396226,315.0
stat.AP,0.25,0.14285714285714285,0.18181818181818182,14.0
stat.CO,0.0,0.0,0.0,2.0
stat.ME,0.15,0.21428571428571427,0.17647058823529413,14.0
stat.ML,0.0,0.0,0.0,1.0
stat.OT,0.0,0.0,0.0,0.0
accuracy,0.5794,0.5794,0.5794,0.5794
macro avg,0.320354750432323,0.29742862888609095,0.29708659592533065,5000.0
weighted avg,0.5848528555000229,0.5794,0.5743744027168394,5000.0
