,precision,recall,f1-score,support
physics.geo-ph,0.6666666666666666,0.25,0.36363636363636365,8.0
physics.hist-ph,0.2,0.08333333333333333,0.11764705882352941,12.0
physics.ins-det,0.5517241379310345,0.7619047619047619,0.64,21.0
physics.med-ph,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
physics.optics,0.4794520547945205,0.625,0.5426356589147286,56.0
physics.plasm-ph,0.7333333333333333,0.6285714285714286,0.676923076923077,35.0
physics.pop-ph,0.0,0.0,0.0,6.0
physics.soc-ph,0.5294117647058824,0.42857142857142855,0.47368421052631576,42.0
physics.space-ph,0.0,0.0,0.0,1.0
q-bio.BM,0.25,0.09090909090909091,0.13333333333333333,11.0
q-bio.CB,0.0,0.0,0.0,3.0
q-bio.GN,1.0,0.42857142857142855,0.6,7.0
q-bio.MN,0.3333333333333333,0.375,0.35294117647058826,8.0
q-bio.NC,0.875,0.4666666666666667,0.6086956521739131,15.0
q-bio.OT,0.0,0.0,0.0,2.0
q-bio.PE,0.7368421052631579,0.5384615384615384,0.6222222222222222,26.0
q-bio.QM,0.4,0.18181818181818182,0.25,11.0
q-bio.SC,1.0,0.3333333333333333,0.5,3.0
q-bio.TO,0.5,0.25,0.3333333333333333,4.0
q-fin.CP,0.0,0.0,0.0,1.0
q-fin.EC,0.0,0.0,0.0,0.0
q-fin.GN,0.0,0.0,0.0,4.0
q-fin.MF,0.0,0.0,0.0,0.0
q-fin.PM,0.0,0.0,0.0,3.0
q-fin.PR,0.5,0.14285714285714285,0.2222222222222222,7.0
q-fin.RM,0.0,0.0,0.0,2.0
q-fin.ST,0.8888888888888888,0.7272727272727273,0.8,11.0
q-fin.TR,0.0,0.0,0.0,2.0
quant-ph,0.6997084548104956,0.7619047619047619,0.729483282674772,315.0
stat.AP,0.2,0.07142857142857142,0.10526315789473684,14.0
stat.CO,0.0,0.0,0.0,2.0
stat.ME,0.25,0.2857142857142857,0.26666666666666666,14.0
stat.ML,0.0,0.0,0.0,1.0
stat.OT,0.0,0.0,0.0,0.0
accuracy,0.5872,0.5872,0.5872,0.5872
macro avg,0.3351062105847186,0.30670356807607696,0.3072179250014475,5000.0
weighted avg,0.5886664729137259,0.5872,0.5778472077075095,5000.0
